id,name,element,rarity,emoji,baseHP,baseATK,baseDEF,baseSPD,skillName,skillCost,skillMultiplier,evolutionLevel,evolutionTarget,leaderSkill,isBoss,silhouette,keyFeatures,faceType,bodyForm,designNote,nickname,palette,evolutionForm,vibe
monster_011,冰鳞兽,water,2,🐧,145,30,35,10,寒冰冲击,8,2.3,18,monster_012,,false,水母灵,水母+水滴铃铛轮廓,大圆瞳|半透明伞,飘浮伞状|触手垂,冰蓝透明,叮铃|水水,冰蓝+半透白,幼体→成体,内向|容易害羞|怕吵
monster_012,冰甲龙,water,3,🐉,200,45,55,14,极寒吐息,10,2.8,,,,false,海牛灵,海牛+波浪冠/水滴鳍,温柔大眼|水滴泪痣,海牛横式|鳍展开,海蓝温润,牛牛|浪花,海蓝+珠光白,幼体→成体,温柔大姐姐|爱照顾人|有点唠叨
monster_013,岩甲龙,earth,3,🦕,170,42,50,8,岩石崩落,9,2.5,,,,false,穿山甲盾,穿山甲+盾球轮廓,小豆眼|甲鳞皱眉,卷球防御|甲耸,土黄坚实,团子|甲甲,土黄+沙褐,幼体→成体,胆小|爱抱头|但护友
monster_014,山岭龙,earth,4,⛰️,230,58,70,10,大地之力,11,3.0,,,,false,山岭龟,陆龟+石壳头盔/苔藓块,老沉龟眼|苔藓眉,巨型重装|苔绿冠,深褐古朴,山爷|岩柱,深褐+苔藓绿,成体,老顽固|说话慢|像石碑
monster_015,风羽鹰,wind,2,🦅,95,36,18,28,风刃切割,7,2.4,18,monster_016,,false,鼯鼠灵,鼯鼠+叶尾/翼膜,警觉大眼|叶耳,滑翔翼展|叶尾平衡,嫩绿轻盈,飞飞|滑滑,嫩绿+银灰,幼体→成体,好奇|爱冒险|怕高
monster_016,苍穹鹰,wind,3,🌪️,130,52,25,38,风暴降临,10,3.2,,,,false,鹤雏灵,鹤雏+蓝色面罩/羽扇翼,鹤眼锐利|蓝冠,单足立姿|翅半展,青蓝高雅,鹤仙|蓝翎,青蓝+银白,成体,高冷|挑剔|审美怪
monster_017,暗影猫,dark,3,🐱,85,50,12,30,暗影利爪,9,3.0,,,,false,蝾螈暗灵,蝾螈+软鳃/半眯眼,半眯竖瞳|鳃裂,匍匐两栖|尾卷,紫黑黏滑,滑滑|阿鳅,紫黑+暗紫,幼体→成体,阴阳怪气|爱吐槽|潜水
monster_018,幽冥虎,dark,4,🐯,120,70,18,40,暗夜终结,13,4.0,,,,false,果蝠灵,果蝠+圆耳/披风翼,圆瞳大眼|耳大如扇,倒挂双翼|披风状,暗紫神秘,蝠爷|大耳,暗紫+虹光紫,成体,夜行|神秘|白天犯困
monster_019,圣光雀,light,3,🐦,115,52,22,20,圣光射线,10,3.2,,,,false,蜂鸟灵,蜂鸟+花瓣翼,小而圆眼|尖喙,悬停振翅|花翼,彩光轻灵,蜂蜂|花妹,彩光+蜜黄,幼体→成体,多动症|停不下来|话密
monster_020,天使兽,light,4,👼,155,68,32,28,天堂之光,14,4.5,,,,false,海天使,海天使/海蛞蝓+软裙鳍,闭眼微笑|羽状鳃,飘浮软体|裙鳍开,粉白圣洁,安安|小天使,粉白+珍珠光,成体,治愈系|话少|但一句顶一句
monster_021,暗夜蝠,dark,2,🦇,80,38,12,28,暗影突袭,7,2.4,18,monster_022,,false,,,,,,,,,
monster_022,暗翼魔,dark,3,🧛,110,55,18,38,暗翼斩,10,3.2,,,,false,,,,,,,,,
monster_023,毒蛛王,dark,3,🕷️,130,55,20,12,毒液射击,8,2.8,,,,false,,,,,,,,,
monster_024,剧毒蛛后,dark,4,🕸️,180,75,28,16,剧毒蛛网,12,3.8,,,,false,,,,,,,,,
monster_025,雷翼龙,thunder,2,🐉,105,42,16,26,雷电冲击,8,2.6,18,monster_026,,false,,,,,,,,,
monster_026,雷鸣龙,thunder,3,⚡,145,62,24,36,雷霆万钧,12,3.5,,,,false,,,,,,,,,
monster_027,光辉兽,light,2,🦄,115,45,20,20,光辉射击,9,2.8,18,monster_028,,false,,,,,,,,,
monster_028,圣光龙,light,3,🌟,155,65,30,28,圣光裁决,12,3.6,,,,false,,,,,,,,,
monster_029,雷光兽,thunder,3,🦁,140,60,22,24,雷光斩,10,3.2,,,,false,,,,,,,,,
monster_030,雷霆圣龙,thunder,4,👑,195,80,32,30,圣雷灭世,14,4.2,,,,false,,,,,,,,,
monster_031,光明天使,light,3,🕊️,130,58,26,32,天使之光,11,3.4,,,,false,,,,,,,,,
monster_032,神圣巨龙,light,4,🏛️,175,75,35,38,神光净化,15,4.5,,,,false,,,,,,,,,
monster_033,冰晶兽,ice,2,💎,120,32,28,16,冰晶冲击,7,2.3,18,monster_034,,false,,,,,,,,,
monster_034,冰晶龙,ice,3,🔷,165,48,40,22,冰晶风暴,10,2.9,,,,false,,,,,,,,,
monster_035,霜狼,ice,2,🐺,95,42,18,22,霜咬,8,2.5,18,monster_036,,false,,,,,,,,,
monster_036,寒霜狼王,ice,3,❄️,130,62,26,30,寒霜撕裂,11,3.3,,,,false,,,,,,,,,
monster_037,雪狐,ice,2,🦊,85,38,14,30,雪遁,6,2.2,18,monster_038,,false,,,,,,,,,
monster_038,冰霜妖狐,ice,3,🧊,115,55,20,42,冰霜幻舞,9,3.1,,,,false,,,,,,,,,
monster_039,寒龟,ice,2,🐧,150,25,35,10,冰甲护体,7,2.0,20,monster_040,,false,,,,,,,,,
monster_040,极地冰龟,ice,3,🧊,210,38,52,14,极寒护盾,10,2.5,,,,false,,,,,,,,,
monster_041,冰龙,ice,3,🐉,155,58,30,20,冰龙吐息,10,3.0,,,,false,,,,,,,,,
monster_042,霜翼龙,ice,4,🌨️,200,75,40,26,暴风雪降临,13,3.8,,,,false,,,,,,,,,
monster_043,虚影兽,void,2,👤,100,40,16,24,虚影冲击,8,2.5,18,monster_044,,false,,,,,,,,,
monster_044,虚影魔,void,3,👻,140,58,24,32,虚空撕裂,11,3.2,,,,false,,,,,,,,,
monster_045,噬魂虫,void,2,🪱,80,36,12,32,灵魂吸收,7,2.4,18,monster_046,,false,,,,,,,,,
monster_046,噬魂蛾,void,3,🦋,110,52,18,44,虚空幻翼,10,3.3,,,,false,,,,,,,,,
monster_047,虚空幼龙,void,3,🐉,150,55,30,20,虚空吐息,10,3.0,,,,false,,,,,,,,,
monster_048,虚空巨龙,void,4,🌑,200,72,40,26,虚空灭世,14,4.0,,,,false,,,,,,,,,
monster_049,时空狼,temporal,2,🐺,110,38,22,22,时空撕裂,8,2.4,18,monster_050,,false,,,,,,,,,
monster_050,时空狼王,temporal,3,🌟,155,55,32,30,时空裂斩,11,3.1,,,,false,,,,,,,,,
monster_051,时空幼龙,temporal,3,🐉,145,52,28,18,时空吐息,10,2.9,,,,false,,,,,,,,,
monster_052,时空巨龙,temporal,4,⏳,195,68,38,24,时空湮灭,13,3.6,,,,false,,,,,,,,,
monster_053,时空狐,temporal,2,🦊,88,40,14,32,时空穿梭,7,2.3,18,monster_054,,false,,,,,,,,,
monster_054,时空妖狐,temporal,3,🔮,120,58,20,44,时空幻舞,10,3.2,,,,false,,,,,,,,,
monster_055,星耀狼,star,2,🐺,115,40,24,24,星光撕裂,8,2.5,18,monster_056,,false,,,,,,,,,
monster_056,星耀狼王,star,3,🌟,160,58,34,32,星耀裂斩,11,3.2,,,,false,,,,,,,,,
monster_057,星耀幼龙,star,3,🐉,150,55,30,20,星耀吐息,10,3.0,,,,false,,,,,,,,,
monster_058,星耀巨龙,star,4,✨,205,72,42,26,星耀灭世,14,3.8,,,,false,,,,,,,,,
monster_059,星耀狐,star,2,🦊,90,42,16,34,星耀穿梭,7,2.4,18,monster_060,,false,,,,,,,,,
monster_060,星耀妖狐,star,3,🔮,125,60,22,46,星耀幻舞,10,3.3,,,,false,,,,,,,,,
monster_061,混沌狼,chaos,2,🐺,118,42,26,25,混沌撕裂,8,2.6,18,monster_062,,false,,,,,,,,,
monster_062,混沌狼王,chaos,3,🌟,165,60,36,34,混沌裂斩,11,3.3,,,,false,,,,,,,,,
monster_063,混沌幼龙,chaos,3,🐉,155,58,32,22,混沌吐息,10,3.1,,,,false,,,,,,,,,
monster_064,混沌巨龙,chaos,4,🌑,210,75,44,28,混沌灭世,14,3.9,,,,false,,,,,,,,,
monster_065,混沌狐,chaos,2,🦊,92,44,16,36,混沌穿梭,7,2.5,18,monster_066,,false,,,,,,,,,
monster_066,混沌妖狐,chaos,3,🔮,128,62,24,48,混沌幻舞,10,3.4,,,,false,,,,,,,,,
monster_067,光耀狼,light,2,🐺,120,42,28,26,光耀撕裂,8,2.6,18,monster_068,,false,,,,,,,,,
monster_068,光耀狼王,light,3,🌟,170,62,38,35,光耀裂斩,11,3.3,,,,false,,,,,,,,,
monster_069,光耀幼龙,light,3,🐉,160,60,34,24,光耀吐息,10,3.2,,,,false,,,,,,,,,
monster_070,光耀巨龙,light,4,✨,215,78,46,30,光耀灭世,14,4.0,,,,false,,,,,,,,,
monster_071,光耀狐,light,2,🦊,95,46,18,38,光耀穿梭,7,2.6,18,monster_072,,false,,,,,,,,,
monster_072,光耀妖狐,light,3,🔮,132,65,26,50,光耀幻舞,10,3.5,,,,false,,,,,,,,,
monster_073,光耀战鹰,light,3,🦅,130,62,22,28,光耀翼斩,9,3.2,,,,false,,,,,,,,,
monster_074,光耀圣鹰,light,4,🕊️,180,80,32,36,圣光裁决,13,4.2,,,,false,,,,,,,,,
monster_075,光耀守护者,light,3,🛡️,200,38,48,12,圣光护盾,8,2.2,,,,false,,,,,,,,,
monster_076,光耀巨灵,light,4,👼,270,50,65,16,神圣庇护,11,2.8,,,,false,,,,,,,,,
monster_boss_001,花叶兽,grass,3,🌺,350,45,35,10,花瓣风暴,10,3.0,,,,true,,,,,,,,,
monster_boss_002,烈焰龙,fire,3,🐉,400,55,30,12,龙息烈焰,12,3.5,,,,true,,,,,,,,,
monster_boss_003,深海海马王,water,4,🦑,450,50,40,14,深渊漩涡,12,3.2,,,,true,,,,,,,,,
monster_boss_004,暗影巨龙,dark,4,🐲,530,55,45,16,暗影龙息,13,3.5,,,,true,,,,,,,,,
monster_boss_005,雷霆巨兽,thunder,4,⚡,600,58,48,18,雷霆裁决,14,3.8,,,,true,,,,,,,,,
monster_boss_006,冰霜巨龙,ice,4,🐲,700,60,55,12,绝对零度,15,4.0,,,,true,,,,,,,,,
monster_boss_007,虚空巨龙,void,5,🌑,750,65,50,14,虚空湮灭,15,4.2,,,,true,,,,,,,,,
monster_boss_008,时空巨龙,temporal,5,⏳,800,68,52,16,时空崩灭,16,4.5,,,,true,,,,,,,,,
monster_boss_009,星耀巨龙,star,5,✨,850,72,55,18,星辰湮灭,16,4.8,,,,true,,,,,,,,,
monster_boss_010,混沌兽神,chaos,5,🐲,900,75,58,20,混沌湮灭,16,5.0,,,,true,,,,,,,,,
monster_boss_011,光耀天使长,light,5,👼,950,80,62,22,神圣制裁,16,5.2,,,,true,,,,,,,,,
enemy_001,野火虫,fire,1,🐛,34,10,7,10,火星,5,1.5,,,,false,,,,,,,,,
enemy_002,水泡泡,water,1,🫧,38,10,7,8,水泡,5,1.5,,,,false,,,,,,,,,
enemy_003,草精灵,grass,1,🍃,32,10,7,12,叶刃,5,1.5,,,,false,,,,,,,,,
enemy_004,深海鱼,water,1,🐟,39,10,10,14,水弹,5,1.6,,,,false,,,,,,,,,
enemy_005,岩蜥,earth,1,🦎,35,10,10,8,石击,5,1.5,,,,false,,,,,,,,,
enemy_006,风蛾,wind,1,🦋,37,10,10,18,风切,5,1.7,,,,false,,,,,,,,,
enemy_007,暗蛛,dark,1,🕷️,41,10,10,20,暗袭,5,1.8,,,,false,,,,,,,,,
enemy_008,光蝇,light,1,✨,33,10,10,22,光刺,5,1.9,,,,false,,,,,,,,,
enemy_009,暗夜蝙蝠,dark,1,🦇,35,10,13,22,暗袭,5,1.8,,,,false,,,,,,,,,
enemy_010,暗毒蛛,dark,1,🕷️,41,10,13,10,毒咬,5,1.9,,,,false,,,,,,,,,
enemy_011,暗幽灵,dark,1,👻,36,10,13,25,穿体,5,2.0,,,,false,,,,,,,,,
enemy_012,雷球,thunder,1,⚡,42,10,17,18,电击,5,1.8,,,,false,,,,,,,,,
enemy_013,光球,light,1,✨,36,10,17,20,光刺,5,1.9,,,,false,,,,,,,,,
enemy_014,雷鹰,thunder,1,🦅,41,10,17,26,雷翼斩,5,2.0,,,,false,,,,,,,,,
enemy_015,光蝶,light,1,🦋,37,10,17,24,光翼,5,2.1,,,,false,,,,,,,,,
enemy_016,雷光元素,thunder,1,💡,39,10,17,22,元素雷电,5,2.2,,,,false,,,,,,,,,
enemy_017,冰晶怪,ice,1,💠,39,10,22,12,冰刺,5,1.7,,,,false,,,,,,,,,
enemy_018,霜雪狼,ice,1,🐺,45,10,22,20,霜咬,5,1.8,,,,false,,,,,,,,,
enemy_019,冰幽灵,ice,1,👻,42,10,22,24,穿体,5,1.9,,,,false,,,,,,,,,
enemy_020,极地熊,ice,1,🐻,39,10,22,10,冰掌,5,1.6,,,,false,,,,,,,,,
enemy_021,冰翼龙,ice,1,🐉,45,10,22,22,冰息,5,2.0,,,,false,,,,,,,,,
enemy_022,虚影,void,1,👤,47,10,28,18,虚袭,5,1.8,,,,false,,,,,,,,,
enemy_023,噬魂蛛,void,1,🕷️,45,10,28,12,魂咬,5,1.9,,,,false,,,,,,,,,
enemy_024,虚空幽灵,void,1,👻,50,10,28,24,穿魂,5,2.0,,,,false,,,,,,,,,
enemy_025,暗蚀兽,void,1,🐺,43,10,28,14,暗蚀,5,1.7,,,,false,,,,,,,,,
enemy_026,虚空元素,void,1,🌀,46,10,28,20,虚空弹,5,2.1,,,,false,,,,,,,,,
enemy_027,时空狼崽,temporal,1,🐺,51,11,35,18,时空爪,5,1.8,,,,false,,,,,,,,,
enemy_028,时空幽灵,temporal,1,👻,55,11,35,26,穿时,5,2.0,,,,false,,,,,,,,,
enemy_029,时空调律者,temporal,1,🕰️,49,11,34,14,时间扭曲,5,1.7,,,,false,,,,,,,,,
enemy_030,虚空噬时兽,temporal,1,🦎,57,11,36,20,时间啃噬,5,1.9,,,,false,,,,,,,,,
enemy_031,时空元素,temporal,1,🌀,52,11,35,22,时空弹,5,2.1,,,,false,,,,,,,,,
enemy_032,星耀狼崽,star,1,🐺,66,11,44,20,星爪,5,1.8,,,,false,,,,,,,,,
enemy_033,星耀幽灵,star,1,👻,58,11,42,28,穿星,5,2.0,,,,false,,,,,,,,,
enemy_034,星耀祭司,star,1,🕯️,63,11,43,16,星光祈福,5,1.8,,,,false,,,,,,,,,
enemy_035,星蚀兽,star,1,🦎,60,11,43,22,星蚀,5,2.0,,,,false,,,,,,,,,
enemy_036,星耀元素,star,1,💫,68,11,44,24,星弹,5,2.2,,,,false,,,,,,,,,
enemy_037,混沌狼崽,chaos,1,🐺,72,12,52,20,混沌爪,5,1.8,,,,false,,,,,,,,,
enemy_038,混沌幽灵,chaos,1,👻,74,12,52,30,穿混沌,5,2.0,,,,false,,,,,,,,,
enemy_039,混沌祭司,chaos,1,🕯️,69,12,51,16,混沌祈福,5,1.8,,,,false,,,,,,,,,
enemy_040,混沌噬星兽,chaos,1,🦎,79,12,53,24,星蚀混沌,5,2.2,,,,false,,,,,,,,,
enemy_041,混沌元素,chaos,1,🌀,76,12,52,26,混沌弹,5,2.1,,,,false,,,,,,,,,
enemy_042,光耀狼崽,light,1,🐺,90,13,62,22,光爪,5,1.9,,,,false,,,,,,,,,
enemy_043,光耀幽灵,light,1,👻,84,13,62,30,穿光,5,2.1,,,,false,,,,,,,,,
enemy_044,光耀祭司,light,1,🕯️,94,13,63,18,光祈,5,1.9,,,,false,,,,,,,,,
enemy_045,光蚀兽,light,1,🦎,78,13,61,26,光蚀,5,2.0,,,,false,,,,,,,,,
enemy_046,光耀元素,light,1,💫,89,13,62,28,光弹,5,2.2,,,,false,,,,,,,,,
