id,name,element,rarity,emoji,baseHP,baseATK,baseDEF,baseSPD,skillName,skillCost,skillMultiplier,evolutionLevel,evolutionTarget,leaderSkill,isBoss
monster_boss_008,时空巨龙,temporal,5,⏳,800,68,52,16,时空崩灭,16,4.5,,,,true
monster_boss_009,星耀巨龙,star,5,✨,850,72,55,18,星辰湮灭,16,4.8,,,,true
monster_boss_010,混沌兽神,chaos,5,🐲,900,75,58,20,混沌湮灭,16,5.0,,,,true
monster_boss_011,光耀天使长,light,5,👼,950,80,62,22,神圣制裁,16,5.2,,,,true
enemy_001,野火虫,fire,1,🐛,34,10,7,10,火星,5,1.5,,,,false
enemy_002,水泡泡,water,1,🫧,38,10,7,8,水泡,5,1.5,,,,false
enemy_003,草精灵,grass,1,🍃,32,10,7,12,叶刃,5,1.5,,,,false
enemy_004,深海鱼,water,1,🐟,39,10,10,14,水弹,5,1.6,,,,false
enemy_005,岩蜥,earth,1,🦎,35,10,10,8,石击,5,1.5,,,,false
enemy_006,风蛾,wind,1,🦋,37,10,10,18,风切,5,1.7,,,,false
enemy_007,暗蛛,dark,1,🕷️,41,10,10,20,暗袭,5,1.8,,,,false
enemy_008,光蝇,light,1,✨,33,10,10,22,光刺,5,1.9,,,,false
enemy_009,暗夜蝙蝠,dark,1,🦇,35,10,13,22,暗袭,5,1.8,,,,false
enemy_010,暗毒蛛,dark,1,🕷️,41,10,13,10,毒咬,5,1.9,,,,false
enemy_011,暗幽灵,dark,1,👻,36,10,13,25,穿体,5,2.0,,,,false
enemy_012,雷球,thunder,1,⚡,42,10,17,18,电击,5,1.8,,,,false
enemy_013,光球,light,1,✨,36,10,17,20,光刺,5,1.9,,,,false
enemy_014,雷鹰,thunder,1,🦅,41,10,17,26,雷翼斩,5,2.0,,,,false
enemy_015,光蝶,light,1,🦋,37,10,17,24,光翼,5,2.1,,,,false
enemy_016,雷光元素,thunder,1,💡,39,10,17,22,元素雷电,5,2.2,,,,false
enemy_017,冰晶怪,ice,1,💠,39,10,22,12,冰刺,5,1.7,,,,false
enemy_018,霜雪狼,ice,1,🐺,45,10,22,20,霜咬,5,1.8,,,,false
enemy_019,冰幽灵,ice,1,👻,42,10,22,24,穿体,5,1.9,,,,false
enemy_020,极地熊,ice,1,🐻,39,10,22,10,冰掌,5,1.6,,,,false
enemy_021,冰翼龙,ice,1,🐉,45,10,22,22,冰息,5,2.0,,,,false
enemy_022,虚影,void,1,👤,47,10,28,18,虚袭,5,1.8,,,,false
enemy_023,噬魂蛛,void,1,🕷️,45,10,28,12,魂咬,5,1.9,,,,false
enemy_024,虚空幽灵,void,1,👻,50,10,28,24,穿魂,5,2.0,,,,false
enemy_025,暗蚀兽,void,1,🐺,43,10,28,14,暗蚀,5,1.7,,,,false
enemy_026,虚空元素,void,1,🌀,46,10,28,20,虚空弹,5,2.1,,,,false
enemy_027,时空狼崽,temporal,1,🐺,51,11,35,18,时空爪,5,1.8,,,,false
enemy_028,时空幽灵,temporal,1,👻,55,11,35,26,穿时,5,2.0,,,,false
enemy_029,时空调律者,temporal,1,🕰️,49,11,34,14,时间扭曲,5,1.7,,,,false
enemy_030,虚空噬时兽,temporal,1,🦎,57,11,36,20,时间啃噬,5,1.9,,,,false
enemy_031,时空元素,temporal,1,🌀,52,11,35,22,时空弹,5,2.1,,,,false
enemy_032,星耀狼崽,star,1,🐺,66,11,44,20,星爪,5,1.8,,,,false
enemy_033,星耀幽灵,star,1,👻,58,11,42,28,穿星,5,2.0,,,,false
enemy_034,星耀祭司,star,1,🕯️,63,11,43,16,星光祈福,5,1.8,,,,false
enemy_035,星蚀兽,star,1,🦎,60,11,43,22,星蚀,5,2.0,,,,false
enemy_036,星耀元素,star,1,💫,68,11,44,24,星弹,5,2.2,,,,false
enemy_037,混沌狼崽,chaos,1,🐺,72,12,52,20,混沌爪,5,1.8,,,,false
enemy_038,混沌幽灵,chaos,1,👻,74,12,52,30,穿混沌,5,2.0,,,,false
enemy_039,混沌祭司,chaos,1,🕯️,69,12,51,16,混沌祈福,5,1.8,,,,false
enemy_040,混沌噬星兽,chaos,1,🦎,79,12,53,24,星蚀混沌,5,2.2,,,,false
enemy_041,混沌元素,chaos,1,🌀,76,12,52,26,混沌弹,5,2.1,,,,false
enemy_042,光耀狼崽,light,1,🐺,90,13,62,22,光爪,5,1.9,,,,false
enemy_043,光耀幽灵,light,1,👻,84,13,62,30,穿光,5,2.1,,,,false
enemy_044,光耀祭司,light,1,🕯️,94,13,63,18,光祈,5,1.9,,,,false
enemy_045,光蚀兽,light,1,🦎,78,13,61,26,光蚀,5,2.0,,,,false
enemy_046,光耀元素,light,1,💫,89,13,62,28,光弹,5,2.2,,,,false
